date,winLoss
4/5/2019,0
4/6/2019,0
4/7/2019,1
4/8/2019,1
4/9/2019,1
4/10/2019,1
4/11/2019,1
4/19/2019,0
4/20/2019,1
4/21/2019,1
4/22/2019,1
4/23/2019,1
4/24/2019,1
4/26/2019,0
4/27/2019,1
4/28/2019,1
5/6/2019,1
5/7/2019,0
5/8/2019,0
5/9/2019,1
5/10/2019,0
5/11/2019,0
5/12/2019,0
5/22/2019,1
5/22/2019,0
5/24/2019,0
5/25/2019,1
5/26/2019,0
5/31/2019,1
6/1/2019,1
6/2/2019,1
6/4/2019,0
6/6/2019,1
6/17/2019,1
6/18/2019,0
6/19/2019,1
6/20/2019,0
6/21/2019,1
6/22/2019,1
6/23/2019,0
6/25/2019,0
6/26/2019,0
7/12/2019,0
7/13/2019,1
7/14/2019,1
7/15/2019,1
7/16/2019,0
7/17/2019,1
7/26/2019,1
7/27/2019,0
7/28/2019,0
7/30/2019,1
7/31/2019,0
8/1/2019,1
8/9/2019,1
8/10/2019,1
8/11/2019,1
8/19/2019,1
8/20/2019,1
8/21/2019,0
8/22/2019,1
8/23/2019,1
8/24/2019,1
8/25/2019,1
8/31/2019,1
8/31/2019,1
9/1/2019,0
9/1/2019,1
9/2/2019,1
9/3/2019,1
9/4/2019,0
9/5/2019,1
9/13/2019,1
9/14/2019,0
9/15/2019,0
9/16/2019,1
9/17/2019,0
9/18/2019,1
9/27/2019,0
9/28/2019,0
9/29/2019,1
10/6/2019,0
10/7/2019,1
10/11/2019,0
10/12/2019,0
