date,winLoss
4/2/2018,1
4/3/2018,1
4/4/2018,1
4/6/2018,0
4/7/2018,1
4/8/2018,1
4/13/2018,1
4/14/2018,0
4/15/2018,0
4/23/2018,0
4/24/2018,0
4/25/2018,1
4/27/2018,0
4/28/2018,1
4/29/2018,1
4/30/2018,1
5/1/2018,0
5/2/2018,0
5/3/2018,0
5/11/2018,0
5/12/2018,1
5/13/2018,1
5/18/2018,1
5/19/2018,0
5/20/2018,1
5/22/2018,1
5/23/2018,1
5/31/2018,1
6/1/2018,1
6/2/2018,0
6/3/2018,0
6/5/2018,0
6/6/2018,1
6/18/2018,1
6/19/2018,0
6/20/2018,1
6/22/2018,0
6/23/2018,1
6/24/2018,1
6/25/2018,0
6/26/2018,1
6/27/2018,1
7/5/2018,1
7/6/2018,1
7/7/2018,1
7/8/2018,1
7/9/2018,0
7/10/2018,1
7/11/2018,0
7/12/2018,0
7/13/2018,1
7/14/2018,1
7/15/2018,0
7/27/2018,0
7/28/2018,0
7/29/2018,0
8/9/2018,0
8/10/2018,0
8/11/2018,0
8/12/2018,0
8/14/2018,0
8/15/2018,1
8/27/2018,1
8/28/2018,0
8/29/2018,1
8/30/2018,0
8/31/2018,0
9/1/2018,1
9/2/2018,1
9/3/2018,1
9/4/2018,1
9/5/2018,1
9/14/2018,0
9/15/2018,1
9/16/2018,1
9/17/2018,0
9/18/2018,1
9/19/2018,0
9/21/2018,1
9/22/2018,1
9/23/2018,1
10/5/2018,1
10/6/2018,1
10/16/2018,0
10/17/2018,0
10/18/2018,0
